#       time [s]	 Num Atoms [Arb.]       +/- [Arb.]
               5	          317               18
              45	          276               18
              85	          307	            17
             125	          273	            17
             165	          237	            16
             205	          225	            16
             245	          226	            16
             285	          204	            15
             325	          223	            15
             365	          221	            15
             405	          212	            14
             445	          198	            14
             485	          187	            14
             525	          177	            13
             565	          168	            13
             605	          167	            13
             645	          155	            13
             685	          144	            12
             725	          141	            12
             765	          135	            12
             805	          107	            12
             845	          129	            11
             885	          136	            11
             925	          129               11
             965	          123	            11
            1005	          111	            10
            1045	          102	            10
            1085	          107	            10
            1125	           98	            10
            1165	           83	             9
